"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","47uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C3","10nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C4,C6","1uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C5","1nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C7,C8","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C9,C10,C11","100pF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","3",""
"D1,D2","SB140","http://www.diodes.com/_files/datasheets/ds23022.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","2",""
"D3,D4","LM4040LP-5","http://www.ti.com/lit/ds/symlink/lm4040-n.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
"D5","LED_Red","~","LED_THT:LED_D3.0mm","1",""
"D6","LED_Yellow","~","LED_THT:LED_D3.0mm","1",""
"D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf,~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","11",""
"J1,J2,J3,J4,J5,J6","TS_Jack_6.35mm_Sw","~","SynthStuff:CUI_MJ-63052A","6",""
"J10","IDC_02x05","~","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_BackBone","1",""
"J100","IDC_02x05","~","SynthStuff:IDC-Header_2x05_P2.54mm_Vertical_Eurorack","1",""
"Q1,Q3,Q7","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","3",""
"Q2","BC558","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","1",""
"Q4","BC548","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","1",""
"Q5","BS170","https://www.onsemi.com/pub/Collateral/BS170-D.PDF","Package_TO_SOT_THT:TO-92_Inline","1",""
"Q6","J113","https://www.onsemi.com/pub/Collateral/MMBFJ113-D.PDF","Package_TO_SOT_THT:TO-92L_Inline","1",""
"R1,R2","6k8","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R3","270R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R4,R57","33k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R37,R38,R39,R40,R43,R45,R47,R50,R55,R58,R60,R64,R65,R68,R72,R73,R78,R79,R82,R86","100k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","44",""
"R29,R30,R31,R32,R33,R34,R44,R63,R70,R83","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R35,R36,R51,R53,R56,R59,R74,R75,R77,R80","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","10",""
"R41,R42","3k3","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R46,R48,R49","51k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R52","3k9","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R54","330R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R61,R81","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R62","47k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"R66,R67,R85","22k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"R69,R71","560","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","2",""
"R76","82k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","1",""
"RV1,RV2","B100k","~","SynthStuff:Potentiometer_TT_P110KH1","2",""
"RV3","50k","~","Potentiometer_THT:Potentiometer_Bourns_3296X_Horizontal","1",""
"RV4","10k","~","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","1",""
"SW1,SW3,SW4","SW_SPDT","~","SynthStuff:Toggle_Switch_TE","3",""
"SW2","SPDT_OnOffOn","~","SynthStuff:Toggle_Switch_TE","1",""
"U1,U2,U10,U11,U12","TL074","http://www.ti.com/lit/ds/symlink/tl071.pdf","Package_DIP:DIP-14_W7.62mm_Socket","5",""
